fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
141591125,141591130,4,2440,1237,1737.32,-0.679309,-27.9949,-42.3724,-35.1837,4.09
142818962,142818969,6,2604,1097,1690.14,-0.86447,-43.6187,-51.1969,-47.4078,6.09
150307699,150307705,5,1842,997,1355.17,-0.613856,-35.5471,-39.2682,-37.4076,5.09
151378665,151378671,5,2376,1140,1645.79,-0.73439,-35.5471,-44.9909,-40.269,5.09
155921860,155921856,-4,3521,7685,5201.82,0.780525,24.2562,24.9811,24.6187,-3.91
158108882,158108862,-20,1159,1836,1458.74,0.460032,225.634,10.5318,118.083,-19.91
159065537,159065543,5,4131,1679,2633.62,-0.900321,-35.5471,-52.9128,-44.23,5.09
159823122,159823126,3,2654,911,1554.93,-1.06928,-20.8744,-61.0317,-40.953,3.09
160242477,160242482,4,2310,1144,1625.62,-0.702717,-27.9949,-43.4845,-35.7397,4.09
161254274,161254279,4,1362,1034,1186.72,-0.275519,-27.9949,-23.3482,-25.6716,4.09
162900766,162900771,4,1771,1134,1417.15,-0.445793,-27.9949,-31.3337,-29.6643,4.09
165203311,165203317,5,1616,657,1030.39,-0.900025,-35.5471,-52.8987,-44.2229,5.09
173719966,173719966,0,873,1277,1055.85,0.380333,-1.22487,6.90917,2.84215,0.09
174890965,174890973,7,3384,1052,1886.79,-1.16837,-52.2974,-65.8175,-59.0575,7.09
178401214,178401222,7,2807,1269,1887.35,-0.793887,-52.2974,-47.8255,-50.0615,7.09
180552239,180552245,5,2566,1107,1685.4,-0.840695,-35.5471,-50.0603,-42.8037,5.09
183497345,183497350,4,2509,1178,1719.19,-0.756066,-27.9949,-46.0228,-37.0089,4.09
184518157,184518151,-6,1171,3082,1899.74,0.967721,38.2688,33.3328,35.8008,-5.91
186472782,186472787,4,4432,2456,3299.24,-0.590317,-27.9949,-38.1537,-33.0743,4.09
192374826,192374834,7,2131,1902,2013.25,-0.113685,-52.2974,-15.8082,-34.0528,7.09
197290920,197290926,5,2307,917,1454.48,-0.922596,-35.5471,-53.9802,-44.7636,5.09
197621882,197621889,6,2622,1207,1778.98,-0.775799,-43.6187,-46.9631,-45.2909,6.09
198277125,198277131,5,2647,1507,1997.26,-0.563306,-35.5471,-36.8762,-36.2116,5.09
