fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
1094343810,1094343805,-5,897,3261,1710.3,1.29073,31.0834,47.5917,39.3375,-4.91
1103899885,1103899882,-3,726,3045,1486.83,1.43371,17.6996,53.8414,35.7705,-2.91
1104772689,1104772684,-5,1124,2521,1683.33,0.807762,31.0834,26.2003,28.6418,-4.91
1105192958,1105192954,-4,984,2410,1539.95,0.895756,24.2562,30.1298,27.193,-3.91
1105363378,1105363385,6,299,922,525.05,1.1261,-43.6187,40.3484,-1.63514,6.09
1109466670,1109466669,-1,17220,82663,37728.7,1.5687,5.04683,59.7076,32.3772,-0.91
1109840967,1109840962,-5,1442,3644,2292.3,0.927051,31.0834,31.5238,31.3036,-4.91
1112131681,1112131674,-7,904,3081,1668.9,1.22618,45.9003,44.7575,45.3289,-6.91
1120417735,1120417731,-4,1400,3145,2098.33,0.809342,24.2562,26.2709,25.2636,-3.91
1124100475,1124100471,-4,824,1911,1254.86,0.841211,24.2562,27.6957,25.976,-3.91
1124377025,1124377041,15,408,938,618.631,0.832483,-154.118,27.3057,-63.4059,15.09
1128580591,1128580586,-5,1356,3387,2143.08,0.915405,31.0834,31.0053,31.0443,-4.91
1129893930,1129893926,-4,1010,2789,1678.36,1.01573,24.2562,35.4644,29.8603,-3.91
1133115737,1133115734,-3,895,1801,1269.6,0.699274,17.6996,21.3359,19.5177,-2.91
1133468098,1133468100,1,2538,2378,2456.7,-0.0651166,-7.57712,-13.5548,-10.5659,1.09
1139262353,1139262350,-3,1622,2440,1989.39,0.408338,17.6996,8.18345,12.9415,-2.91
1140916639,1140916643,3,2381,1400,1825.76,-0.531048,-20.8744,-35.3522,-28.1133,3.09
1149646532,1149646529,-3,1391,3150,2093.24,0.81738,17.6996,26.6305,22.165,-2.91
1153065475,1153065471,-4,1052,3455,1906.48,1.18913,24.2562,43.1273,33.6918,-3.91
1155651041,1155651038,-3,1489,3551,2299.44,0.869125,17.6996,28.942,23.3208,-2.91
1161733582,1161733578,-4,1136,2686,1746.8,0.86054,24.2562,28.5589,26.4075,-3.91
1162470080,1162470081,0,1668,1392,1523.76,-0.180884,-1.22487,-18.9332,-10.079,0.09
1162965497,1162965491,-6,1077,3413,1917.24,1.15341,38.2688,41.5534,39.9111,-5.91
1163005650,1163005646,-4,1033,3073,1781.69,1.09019,24.2562,38.7616,31.5089,-3.91
1163713675,1163713690,14,678,2844,1388.61,1.43382,-137.422,53.8463,-41.7878,14.09
1164194493,1164194489,-4,869,2560,1491.52,1.08042,24.2562,38.3296,31.2929,-3.91
1167267050,1167267070,19,745,1026,874.283,0.320039,-235.749,4.16072,-115.794,19.09
1170390135,1170390134,-1,1271,3098,1984.33,0.890953,5.04683,29.9156,17.4812,-0.91
1186523574,1186523570,-4,1398,3787,2300.92,0.996532,24.2562,34.6124,29.4343,-3.91
1195083503,1195083498,-5,1395,3517,2215.0,0.924714,31.0834,31.4198,31.2516,-4.91
1198913066,1198913066,0,1685,2660,2117.1,0.456561,-1.22487,10.3743,4.57471,0.09
1202184671,1202184667,-4,904,2976,1640.21,1.19151,24.2562,43.232,33.7441,-3.91
1202824035,1202824015,-20,30738,27010,28813.8,-0.129293,225.634,-16.5332,104.55,-19.91
1210258741,1210258736,-5,974,3170,1757.15,1.18008,31.0834,42.7286,36.906,-4.91
1212498746,1212498741,-5,899,1953,1325.05,0.775839,31.0834,24.7712,27.9273,-4.91
1214414063,1214414060,-3,836,2901,1557.32,1.24418,17.6996,45.5486,31.6241,-2.91
1214468840,1214468834,-6,813,3001,1561.99,1.30597,38.2688,48.2595,43.2641,-5.91
