fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
7886493,7886493,0,1680,1946,1808.12,0.146982,-1.22487,-3.7652,-2.49503,0.09
10923945,10923942,-3,628,2260,1191.34,1.28058,17.6996,47.1464,32.423,-2.91
11106704,11106719,14,111,4966,742.446,3.80084,-137.422,151.821,7.19984,14.09
12242614,12242596,-18,773,2615,1421.76,1.21874,184.387,44.4304,114.409,-17.91
12513992,12513997,4,2656,1396,1925.56,-0.64321,-27.9949,-40.6594,-34.3271,4.09
13129479,13129482,2,2586,2354,2467.27,-0.0939963,-14.0977,-14.8941,-14.4959,2.09
15652843,15652837,-6,1120,2362,1626.48,0.74618,38.2688,23.4417,30.8553,-5.91
16945946,16945941,-5,1153,4122,2180.06,1.27397,31.0834,46.8565,38.9699,-4.91
17257774,17257766,-8,25,1090,165.076,3.77506,54.0655,150.81,102.438,-7.91
20197312,20197309,-3,1581,3283,2278.25,0.7307,17.6996,22.7472,20.2234,-2.91
20287969,20287962,-7,774,2773,1465.03,1.27611,45.9003,46.9505,46.4254,-6.91
20977028,20977038,9,19,1041,140.638,4.0035,-71.8275,159.728,43.9505,9.09
23458419,23458415,-4,1464,3799,2358.33,0.953565,24.2562,32.7035,28.4799,-3.91
28324466,28324461,-5,996,3549,1880.11,1.27067,31.0834,46.7118,38.8976,-4.91
28870054,28870074,19,517,2013,1020.16,1.35934,-235.749,50.5953,-92.5768,19.09
30418113,30418107,-6,945,2641,1579.79,1.02773,38.2688,35.9963,37.1326,-5.91
33076310,33076302,-8,804,3600,1701.29,1.49909,54.0655,56.6869,55.3762,-7.91
36505483,36505487,3,2462,1432,1877.65,-0.541902,-20.8744,-35.8647,-28.3696,3.09
37885715,37885711,-4,1245,2730,1843.6,0.785166,24.2562,25.1889,24.7226,-3.91
41511884,41511878,-6,1278,3667,2164.82,1.05408,38.2688,37.1638,37.7163,-5.91
58767714,58767712,-2,1033,2146,1488.9,0.731138,11.3257,22.7669,17.0463,-1.91
59196855,59196866,10,59,668,198.525,2.42675,-82.8543,96.2069,6.67629,10.09
61955462,61955457,-5,1210,4011,2203.02,1.19842,31.0834,43.5363,37.3099,-4.91
63925122,63925113,-9,16779,52760,29753.3,1.14563,62.8524,41.21,52.0312,-8.91
65186451,65186446,-5,773,3858,1726.91,1.60763,31.0834,61.3929,46.2381,-4.91
66973606,66973599,-7,245,1476,601.348,1.79583,45.9003,69.5017,57.701,-6.91
68192503,68192506,2,11319,10666,10987.7,-0.0594216,-14.0977,-13.2908,-13.6943,2.09
70537635,70537629,-6,986,3701,1910.28,1.3227,38.2688,48.9924,43.6306,-5.91
71297636,71297638,1,165,961,398.202,1.76203,-7.57712,68.0501,30.2365,1.09
73537250,73537254,3,2109,994,1447.88,-0.752232,-20.8744,-45.8402,-33.3573,3.09
79505934,79505928,-6,1156,3829,2103.88,1.19764,38.2688,43.5019,40.8853,-5.91
81449045,81449064,18,150,826,351.994,1.70596,-212.938,65.6377,-73.6503,18.09
83482255,83482251,-4,892,2537,1504.33,1.04527,24.2562,36.7738,30.515,-3.91
85664378,85664373,-5,1001,4163,2041.36,1.42524,31.0834,53.4722,42.2778,-4.91
87009931,87009926,-5,1167,4034,2169.72,1.24032,31.0834,45.379,38.2312,-4.91
