fTNear,fTFar,fDelT,fQNear,fQFar,d
119183968398,119183968399,1,33,46,10
1734208,1734209,1,974,2009,10
1842189,1842187,-2,1458,1826,10
2678295,2678294,-1,898,1063,10
9281442,9281439,-3,1555,3147,10
11225641,11225639,-2,1426,2256,10
12211437,12211435,-2,1443,2464,10
14148170,14148170,0,1277,1775,10
15634344,15634345,1,1106,1835,10
18682347,18682345,-2,1008,2022,10
19172778,19172777,-1,1138,2012,10
22025875,22025874,-1,1485,1894,10
22242429,22242427,-2,1273,2047,10
24344566,24344563,-3,1445,2611,10
25757787,25757785,-2,1205,2149,10
26930893,26930893,0,787,1665,10
28955846,28955842,-4,2297,4202,10
29318953,29318950,-3,1134,1988,10
32136195,32136194,-1,1471,2359,10
32517369,32517369,0,3387,3351,10
39905682,39905678,-4,1328,3661,10
44507947,44507945,-2,778,1804,10
44546049,44546046,-3,874,2300,10
47031606,47031605,-1,1062,1910,10
48712507,48712512,5,2732,1416,10
50429239,50429237,-2,1140,2596,10
50567256,50567251,-5,1423,2074,10
52319987,52319987,0,1083,1793,10
54691523,54691522,-1,1590,1992,10
55689832,55689828,-4,1781,2769,10
57903556,57903553,-3,1226,1808,10
65001274,65001273,-1,1142,1597,10
65065239,65065238,-1,1146,1646,10
66689876,66689894,18,1168,2510,10
66986499,66986498,-1,1947,3736,10
67161364,67161364,0,1414,2620,10
69531050,69531049,-1,1373,1979,10
69735100,69735099,-1,990,2015,10
70225825,70225822,-3,1112,2089,10
71269867,71269866,-1,953,1418,10
71754258,71754257,-1,1124,1981,10
73563965,73563966,1,1277,2173,10
73845924,73845918,-6,790,3549,10
85148707,85148707,0,860,1453,10
87244487,87244489,2,841,1179,10
87532472,87532471,-1,1796,1992,10
90010275,90010270,-5,909,3726,10
91992749,91992749,0,903,1654,10
95658059,95658055,-4,1199,1888,10
95696242,95696236,-6,931,1573,10
95900130,95900130,0,1217,1772,10
96626209,96626207,-2,1279,1909,10
100620309,100620308,-1,965,1965,10
103554136,103554136,0,1530,3099,10
109219991,109219987,-4,1026,1879,10
111459982,111459982,0,1158,1933,10
112030131,112030131,0,971,1884,10
116714452,116714449,-3,1149,2451,10
117121926,117121904,-22,2096,1083,10
117336081,117336080,-1,1091,2406,10
125519541,125519540,-1,1240,827,10
132081566,132081563,-3,1031,2380,10
135550066,135550066,0,1438,1951,10
135967643,135967641,-2,979,2110,10
136229348,136229346,-2,1109,1608,10
138162395,138162402,7,2893,1216,10
138404651,138404650,-1,943,2021,10
141725846,141725846,0,1420,2386,10
147521039,147521039,0,1900,2080,10
147646422,147646422,0,2252,3237,10
149618162,149618162,0,1162,1885,10
151280266,151280263,-3,1178,2426,10
166229894,166229893,-1,1504,1189,10
169803154,169803154,0,1351,2846,10
178368145,178368144,-1,1189,2034,10
179183015,179183013,-2,1518,2288,10
184074975,184074973,-2,1681,2376,10
185799091,185799091,0,1511,1824,10
187145846,187145847,1,1249,2026,10
187318427,187318427,0,1596,2777,10
187884678,187884674,-4,1335,1711,10
193143290,193143291,1,890,1287,10
194019469,194019469,0,1161,1687,10
195613704,195613702,-2,720,1259,10
207123010,207123008,-2,1258,1792,10
219039024,219039029,5,11611,6857,10
221956011,221956009,-2,509,801,10
223966170,223966170,0,1561,2253,10
224299527,224299534,7,2942,1568,10
225541572,225541570,-2,1590,2674,10
226732982,226732979,-3,1286,1792,10
227295262,227295261,-1,837,2320,10
229067541,229067539,-2,777,1686,10
231287493,231287491,-2,1036,1435,10
232241466,232241466,0,1112,1945,10
232812798,232812798,0,1244,1303,10
242186770,242186773,3,1618,2001,10
244290043,244290040,-3,938,1510,10
250857773,250857769,-4,1287,1751,10
255856413,255856411,-2,1377,2851,10
256282914,256282914,0,1357,2376,10
260300926,260300924,-2,1356,2293,10
263957972,263957970,-2,1260,2281,10
266979390,266979389,-1,1100,2468,10
270011471,270011470,-1,1951,1833,10
270973154,270973153,-1,1341,1950,10
272198012,272198011,-1,1522,1907,10
274899143,274899141,-2,907,1886,10
276543437,276543437,0,1386,1759,10
278031265,278031269,4,3375,2286,10
287714974,287714995,21,886,1188,10
289097033,289097031,-2,866,1332,10
294723867,294723868,1,1702,2425,10
295559070,295559070,0,1055,1356,10
297953890,297953891,1,1439,1326,10
302690090,302690095,5,3488,1602,10
305936131,305936128,-3,1595,1845,10
306701293,306701296,3,1595,1755,10
307471884,307471883,-1,1005,1692,10
308312174,308312171,-3,693,1334,10
310178603,310178601,-2,1083,1447,10
311557677,311557675,-2,1066,2054,10
312804506,312804503,-3,1049,1535,10
313706626,313706624,-2,1125,1962,10
319365497,319365494,-3,1289,2369,10
325409846,325409843,-3,1215,2478,10
325695390,325695389,-1,1354,2169,10
326903303,326903301,-2,1339,1694,10
332264792,332264791,-1,1526,3221,10
332492337,332492358,21,1024,1177,10
334757165,334757162,-3,1100,1852,10
339252254,339252252,-2,1236,1939,10
351396238,351396237,-1,1008,1716,10
354005502,354005503,1,958,1872,10
359120973,359120971,-2,1468,1468,10
360571042,360571041,-1,758,1799,10
366004293,366004291,-2,1539,2330,10
366055243,366055261,18,847,1703,10
368867891,368867886,-5,1512,3700,10
372362520,372362518,-2,830,1095,10
374665415,374665414,-1,1317,1596,10
374849947,374849963,16,785,1674,10
381230923,381230918,-5,1251,3029,10
384236533,384236533,0,991,1941,10
386491225,386491226,1,1184,2062,10
386640731,386640730,-1,1502,2050,10
386691518,386691518,0,1206,1829,10
387946941,387946937,-4,1362,2909,10
388167794,388167791,-3,1661,2579,10
389815294,389815294,0,1536,2517,10
389957314,389957315,1,772,983,10
391888671,391888670,-1,806,1774,10
393100875,393100875,0,873,1086,10
393338746,393338747,1,544,1155,10
394212875,394212869,-6,987,2814,10
394639719,394639718,-1,938,2022,10
394771403,394771404,1,1825,2271,10
400883230,400883230,0,2244,1760,10
404263503,404263500,-3,1552,2757,10
404414770,404414766,-4,838,1760,10
408070073,408070070,-3,1000,2069,10
415110194,415110193,-1,34418,54852,10
418024514,418024511,-3,527,1179,10
421154499,421154502,3,1763,1526,10
423981939,423981937,-2,1151,1299,10
429516842,429516835,-7,1055,3146,10
430070298,430070297,-1,879,1024,10
432006572,432006572,0,1418,2190,10
433627074,433627075,1,1034,1891,10
435343958,435343959,1,1342,1334,10
438702882,438702881,-1,619,984,10
439433979,439433978,-1,1363,2208,10
439599398,439599398,0,1277,2589,10
440166780,440166779,-1,1034,2370,10
440424609,440424598,-11,197,4400,10
448315189,448315189,0,1223,2261,10
450312282,450312288,6,2848,1151,10
452072644,452072643,-1,1544,2520,10
452274107,452274105,-2,870,1276,10
456270345,456270344,-1,1387,2499,10
463459753,463459752,-1,1262,2026,10
468462644,468462642,-2,1102,2847,10
469516953,469516951,-2,1163,2264,10
471501496,471501493,-3,804,1915,10
473435643,473435643,0,1078,1838,10
476017238,476017238,0,2929,3188,10
478464307,478464305,-2,1114,1895,10
482233234,482233238,4,1745,1848,10
484270173,484270173,0,1444,1675,10
490753679,490753677,-2,1857,2695,10
