fTNear,fTFar,fDelT,fQNear,fQFar,d
466675681,466675686,5,2445,1468,-40
466997334,466997339,5,3423,1344,-40
467553052,467553059,7,2512,838,-40
470685026,470685008,-18,1165,199,-40
473308715,473308723,8,2027,1217,-40
473983998,473984008,10,15709,28376,-40
474989001,474989006,5,2718,1147,-40
475235945,475235955,10,3743,1274,-40
479343974,479343966,-8,2061,10682,-40
487340758,487340765,7,2187,1600,-40
487979415,487979424,9,493,187,-40
489301378,489301385,7,2135,991,-40
489975376,489975382,6,2667,1224,-40
490285403,490285386,-17,2915,1404,-40
490714526,490714533,7,3622,1173,-40
497654351,497654359,8,4550,1707,-40
497754776,497754781,5,2581,1946,-40
499531420,499531426,6,3014,1026,-40
502980510,502980517,7,2782,1826,-40
503984122,503984124,2,4193,3591,-40
505456285,505456293,8,2418,1260,-40
506080529,506080534,5,2054,1421,-40
509399542,509399549,7,2493,1232,-40
509727029,509727030,1,42250,25535,-40
525419470,525419476,6,3703,1628,-40
529521758,529521765,7,2553,1466,-40
529801416,529801416,0,2095,1352,-40
536139029,536139031,2,1701,1948,-40
536549446,536549445,-1,1638,2178,-40
536871683,536871692,9,948,410,-40
540002363,540002359,-4,1074,2058,-40
540653621,540653626,5,1836,971,-40
540925103,540925090,-13,619,63,-40
550086821,550086838,17,1016,272,-40
552850733,552850738,5,3097,1018,-40
563146851,563146858,7,4334,2160,-40
570579686,570579693,7,1967,1109,-40
573144669,573144676,7,4427,1315,-40
574019678,574019683,5,3541,1338,-40
575274497,575274504,7,1806,860,-40
576963482,576963478,-4,984,1170,-40
577065813,577065794,-19,835,472,-40
578229520,578229516,-4,32337,14105,-40
579108439,579108446,7,3412,1640,-40
583274415,583274423,8,3139,1178,-40
584155450,584155443,-7,1250,7818,-40
587587338,587587345,7,1808,919,-40
594288919,594288926,7,3426,1253,-40
602638149,602638156,7,1987,936,-40
603117984,603117987,3,1606,1228,-40
604168159,604168167,8,3385,1284,-40
604196416,604196411,-5,1149,242,-40
606738921,606738925,4,2302,1498,-40
607664561,607664566,5,2573,1634,-40
609576688,609576694,6,2659,1169,-40
611669934,611669941,7,2651,1464,-40
613205966,613205960,-6,30654,13194,-40
616504694,616504690,-4,545,2265,-40
617047693,617047699,6,3369,1263,-40
623720489,623720471,-18,367,1130,-40
626153339,626153333,-6,1667,10288,-40
629792279,629792282,3,1659,1157,-40
630853986,630853986,0,2019,2503,-40
632633425,632633432,7,1753,764,-40
634438396,634438402,6,2401,1203,-40
640190183,640190191,8,2613,1080,-40
640291220,640291204,-16,2825,1584,-40
644114676,644114683,7,4701,1253,-40
648018034,648018041,7,2819,1484,-40
648580393,648580399,6,3531,1443,-40
652023114,652023118,4,2410,1242,-40
654935314,654935322,8,4323,1627,-40
654983187,654983193,6,1817,884,-40
655277879,655277891,12,1295,147,-40
657914177,657914183,6,3774,1679,-40
666528609,666528615,6,3404,1687,-40
666597794,666597798,4,2437,1208,-40
667672406,667672413,7,2505,1179,-40
674414460,674414468,8,2240,1273,-40
674520412,674520424,12,2556,1419,-40
682202031,682202030,-1,28234,17984,-40
685538447,685538454,7,2722,969,-40
685859469,685859450,-19,2838,1066,-40
686011902,686011909,7,3489,1397,-40
686153792,686153787,-5,688,3584,-40
690292669,690292675,6,2194,935,-40
691152233,691152235,2,1728,1116,-40
695396316,695396322,6,4262,1480,-40
698065987,698065997,10,2679,1195,-40
711585304,711585292,-12,1004,325,-40
711859890,711859886,-4,1089,2572,-40
712599838,712599847,9,2975,1281,-40
718214364,718214370,6,3202,1109,-40
718769499,718769506,7,2857,1086,-40
726320153,726320155,2,3814,3136,-40
726934161,726934167,6,2298,1152,-40
731816451,731816451,0,1240,1326,-40
736373451,736373448,-3,1333,2205,-40
742981770,742981775,5,2872,1389,-40
748634320,748634324,4,2726,939,-40
750431868,750431874,6,3061,1262,-40
751530802,751530802,0,1356,1801,-40
756089551,756089556,5,13528,27733,-40
756453534,756453536,2,1794,1334,-40
756502291,756502297,6,2977,1305,-40
761935028,761935016,-12,1038,1194,-40
768625832,768625838,6,2278,1032,-40
769051780,769051788,8,2298,1349,-40
769955938,769955938,0,591,255,-40
770476673,770476690,17,1083,17,-40
771209489,771209494,5,2344,1080,-40
777865242,777865247,5,2403,1066,-40
779736131,779736134,3,2293,1648,-40
784197190,784197194,4,3269,1140,-40
784664944,784664950,6,2782,1424,-40
784848664,784848670,6,3612,1185,-40
785162066,785162074,8,2933,1315,-40
790306128,790306133,5,3903,1418,-40
791009444,791009451,7,1291,368,-40
792213902,792213881,-21,1436,284,-40
794144564,794144573,9,1513,752,-40
795172952,795172958,6,2304,1045,-40
795304579,795304576,-3,1521,3844,-40
799840424,799840430,6,3103,1413,-40
801585322,801585327,5,2738,1118,-40
809803824,809803831,7,3248,1473,-40
812804669,812804673,4,2957,1222,-40
813472458,813472472,14,878,364,-40
817527618,817527622,4,1788,1082,-40
820850977,820850980,3,2527,1427,-40
821469778,821469786,8,3478,1179,-40
828456937,828456943,6,560,502,-40
834207255,834207245,-10,30149,17487,-40
834403582,834403584,2,2423,2045,-40
834679986,834679979,-7,932,3596,-40
835310013,835310016,3,1789,1557,-40
838799446,838799451,5,3995,1363,-40
845562445,845562449,4,2421,1849,-40
846652918,846652920,2,2036,1587,-40
850752538,850752546,8,3055,1643,-40
852859299,852859305,6,3689,1606,-40
853204657,853204662,5,2244,1092,-40
856612099,856612105,6,2303,1323,-40
858462574,858462580,6,9247,3273,-40
860382674,860382678,4,2446,1127,-40
861707382,861707386,4,2246,1544,-40
862761481,862761486,5,1895,909,-40
863448321,863448337,16,584,269,-40
868328313,868328310,-3,2016,4747,-40
872615555,872615561,6,3718,1449,-40
873509611,873509617,6,2929,1352,-40
878660022,878660021,-1,1846,3012,-40
882134778,882134785,7,44811,15840,-40
891191536,891191537,1,2652,3301,-40
891435973,891435978,5,2568,1510,-40
892907219,892907222,3,2198,2144,-40
895581307,895581313,6,3983,1454,-40
898394373,898394381,8,3361,1409,-40
900097009,900097015,6,2998,1233,-40
900165721,900165727,6,1847,1016,-40
901603869,901603862,-7,787,546,-40
904244978,904244985,7,2176,1386,-40
905689154,905689152,-2,25358,42977,-40
906504307,906504314,7,2119,954,-40
909098934,909098915,-19,1960,1034,-40
915626653,915626659,6,3570,1429,-40
916913997,916914003,6,3388,1639,-40
918573273,918573278,5,1629,759,-40
921525074,921525079,5,3177,1271,-40
925557692,925557692,0,1316,2211,-40
927448457,927448462,5,2716,1544,-40
928981989,928981995,6,2726,1166,-40
930011731,930011737,6,3866,1375,-40
935923129,935923135,6,3069,1314,-40
940260710,940260714,4,3023,1126,-40
943348045,943348049,4,3674,1674,-40
943976928,943976933,5,1759,1230,-40
950421400,950421407,7,2482,1277,-40
952708247,952708249,2,2256,2189,-40
952786288,952786294,6,2123,1123,-40
957286299,957286306,7,3507,1263,-40
957502472,957502478,6,2817,1287,-40
960171252,960171259,7,3921,1877,-40
961805549,961805554,5,3657,1883,-40
962340455,962340453,-2,2557,3873,-40
964283546,964283527,-19,2759,1727,-40
978981935,978981935,0,22863,19885,-40
983020433,983020438,5,2820,1328,-40
986793083,986793090,7,2900,1198,-40
994645746,994645751,5,3092,1115,-40
996753879,996753885,6,3331,1630,-40
996984491,996984498,7,3930,1092,-40
1000756297,1000756302,5,3257,1206,-40
1011024847,1011024854,7,4842,1418,-40
1013673449,1013673455,6,2359,920,-40
1013963222,1013963201,-21,798,313,-40
1016365572,1016365578,6,3617,2776,-40
1017202287,1017202295,8,4370,1310,-40
1017595549,1017595531,-18,1286,511,-40
1018972709,1018972715,6,2338,886,-40
1025759392,1025759396,4,4630,3099,-40
1026813174,1026813179,5,2279,920,-40
1027744937,1027744943,6,3677,1161,-40
1028084416,1028084422,6,3529,1207,-40
1030928271,1030928277,6,3275,1495,-40
1031749677,1031749682,5,2919,886,-40
1032031221,1032031226,5,2466,736,-40
1033171322,1033171329,7,2424,865,-40
1034090418,1034090423,5,3205,1822,-40
1040764181,1040764186,5,2761,1545,-40
1044888343,1044888340,-3,3017,51323,-40
1052406845,1052406850,5,2323,1195,-40
1058343895,1058343901,6,2254,1518,-40
1061918059,1061918061,2,2104,2000,-40
1062078209,1062078210,1,1926,1424,-40
1063100749,1063100754,5,4145,1352,-40
1063160945,1063160951,6,2230,1016,-40
1071067952,1071067959,7,2915,1093,-40
1074095946,1074095946,0,974,1206,-40
1074249107,1074249090,-17,784,231,-40
1074510766,1074510778,12,2356,1177,-40
1074573875,1074573882,7,3246,1467,-40
1076916098,1076916105,7,2849,1168,-40
1078150999,1078150998,-1,1248,3239,-40
1078292696,1078292702,6,4557,2101,-40
1082795585,1082795591,6,2076,853,-40
1085028998,1085029003,5,3233,1835,-40
1085965444,1085965451,7,3071,1260,-40
1086311653,1086311658,5,2611,1055,-40
1089328186,1089328194,8,3841,855,-40
1094325323,1094325330,7,2861,1095,-40
1095582543,1095582549,6,3297,1271,-40
1095996770,1095996777,7,2331,1381,-40
1096059554,1096059538,-16,1620,548,-40
1096210238,1096210247,9,3227,896,-40
1096424702,1096424684,-18,1561,702,-40
1097062121,1097062128,7,3777,1403,-40
1100889760,1100889766,6,3509,1564,-40
1103053710,1103053715,5,3560,1004,-40
1107470117,1107470105,-12,1279,265,-40
1107570946,1107570950,4,1713,810,-40
1107931598,1107931602,4,1678,1162,-40
1108102740,1108102747,7,531,103,-40
1115396638,1115396646,8,1915,805,-40
1115957897,1115957883,-14,1511,729,-40
1117694002,1117694009,7,3798,1078,-40
1118830378,1118830383,5,3278,1025,-40
1123149461,1123149466,5,2778,1112,-40
1124021227,1124021233,6,4417,1408,-40
1124861486,1124861493,7,3375,1140,-40
1124989806,1124989820,14,1139,235,-40
1125073051,1125073069,18,818,2275,-40
1130704792,1130704797,5,2257,1325,-40
1135755425,1135755434,9,1506,646,-40
1137279775,1137279782,7,2613,2224,-40
1138085218,1138085210,-8,915,770,-40
1142640720,1142640727,7,2641,1358,-40
1143827677,1143827683,6,2032,723,-40
1150827240,1150827246,6,4439,1321,-40
1151487925,1151487930,5,2770,1291,-40
1156717491,1156717497,6,3426,1690,-40
1163618783,1163618791,8,1984,1022,-40
1166644963,1166644964,1,1327,2407,-40
1168449061,1168449067,6,2057,1540,-40
1168835418,1168835426,8,2719,1451,-40
1170398033,1170398040,7,2959,1493,-40
1172094568,1172094573,5,2492,1197,-40
