fTNear,fTFar,fDelT,fQNear,fQFar,d
518188167,518188162,-5,836,2446,40
518252271,518252291,20,675,2486,40
518710055,518710061,6,16754,57871,40
524842210,524842205,-5,923,3347,40
526096110,526096106,-4,1016,1715,40
529897639,529897633,-6,931,3461,40
533231943,533231937,-6,864,3350,40
535430139,535430133,-6,1122,2584,40
537481921,537481917,-4,1363,3582,40
538009180,538009173,-7,976,2669,40
538301622,538301637,15,1156,3017,40
541182229,541182221,-8,994,3028,40
544472854,544472848,-6,1270,3673,40
545574652,545574646,-6,1532,4746,40
545913943,545913936,-7,1000,4019,40
546401802,546401797,-5,1131,5070,40
547603679,547603674,-5,997,3149,40
551209549,551209543,-6,1179,3874,40
552351514,552351516,2,1461,1785,40
552766480,552766474,-6,793,1819,40
555423113,555423120,7,2357,535,40
556207192,556207186,-6,1113,3778,40
570180221,570180220,-1,27582,27867,40
572725066,572725070,4,3602,2470,40
573475898,573475894,-4,699,2573,40
573772558,573772577,19,929,3565,40
574981371,574981362,-9,782,2454,40
578369510,578369506,-4,1003,3828,40
583027825,583027820,-5,1417,2860,40
583073110,583073123,13,326,1264,40
584102566,584102558,-8,865,4185,40
587803377,587803373,-4,831,2910,40
589554165,589554158,-7,1370,2899,40
589909533,589909546,13,26,908,40
592730741,592730741,0,800,805,40
594059494,594059490,-4,709,2355,40
595612275,595612270,-5,1539,3623,40
598289526,598289518,-8,525,2247,40
601209535,601209530,-5,811,3411,40
607035687,607035681,-6,1351,5005,40
609385629,609385624,-5,1149,3451,40
610776295,610776288,-7,861,3485,40
611073535,611073550,15,260,984,40
611995390,611995371,-19,205,934,40
616929751,616929745,-6,878,2716,40
617400412,617400432,20,695,1839,40
619476502,619476496,-6,859,4429,40
624874674,624874666,-8,1120,4330,40
632293343,632293337,-6,1193,4044,40
632539797,632539782,-15,746,2772,40
633114480,633114458,-22,185,1347,40
633727439,633727444,5,353,3166,40
634762178,634762173,-5,1009,3104,40
635709920,635709918,-2,632,768,40
639447698,639447693,-5,1007,3387,40
640690670,640690663,-7,1521,4753,40
647137425,647137404,-21,1627,645,40
650127109,650127099,-10,280,1207,40
650340829,650340839,10,196,1207,40
651912957,651912966,9,366,1230,40
653978254,653978248,-6,843,5150,40
661441849,661441843,-6,1392,3973,40
663879386,663879383,-3,1122,2384,40
667571191,667571185,-6,1154,3085,40
670091134,670091134,0,1034,1126,40
670272804,670272799,-5,900,4791,40
673101338,673101332,-6,1181,3946,40
679693770,679693765,-5,1360,4847,40
682130481,682130476,-5,1158,3862,40
683613605,683613613,8,150,1283,40
683750629,683750649,20,382,1025,40
685350581,685350576,-5,1472,5656,40
685519522,685519515,-7,827,4242,40
690641360,690641354,-6,1209,4060,40
695112538,695112533,-5,858,3694,40
706245206,706245200,-6,1222,3007,40
708913603,708913598,-5,1068,3443,40
712390762,712390765,3,1383,998,40
716488787,716488781,-6,1583,8081,40
717145971,717145966,-5,1143,3798,40
719826862,719826858,-4,954,3527,40
720905846,720905850,4,1522,813,40
721701682,721701675,-7,928,2393,40
722023598,722023594,-4,1168,2337,40
728285663,728285660,-3,1254,2695,40
728361669,728361691,22,256,1386,40
729552985,729552978,-7,1197,4037,40
739179678,739179681,3,1613,1610,40
740790189,740790185,-4,1447,3593,40
753471689,753471684,-5,1399,3676,40
755620523,755620518,-5,879,4618,40
757364889,757364883,-6,1028,1788,40
757674125,757674145,20,694,3430,40
758862138,758862133,-5,669,2080,40
761390282,761390277,-5,1102,4190,40
762714557,762714552,-5,860,4764,40
763418950,763418955,5,4806,2329,40
768318307,768318301,-6,1287,6078,40
768621684,768621687,3,13,634,40
775570587,775570582,-5,952,3231,40
775935758,775935754,-4,1170,2976,40
795067830,795067837,7,2448,1344,40
804429335,804429330,-5,1072,3742,40
804775537,804775530,-7,1142,3270,40
808065854,808065853,-1,983,1779,40
815989067,815989067,0,1612,1719,40
818321159,818321154,-5,1272,4155,40
824635600,824635595,-5,744,3050,40
824720916,824720929,13,311,1846,40
826045031,826045035,4,4455,2715,40
828031594,828031585,-9,37,680,40
835116242,835116237,-5,1402,2819,40
836356708,836356700,-8,949,3725,40
840860997,840860992,-5,1323,4682,40
850238297,850238290,-7,787,4475,40
852872955,852872950,-5,991,3842,40
858977029,858977027,-2,832,2876,40
861498949,861498943,-6,826,2866,40
863207239,863207241,2,1183,1507,40
866519297,866519291,-6,853,3832,40
869429711,869429705,-6,1007,3332,40
872022514,872022509,-5,1199,3721,40
872531336,872531347,11,45,949,40
884572906,884572906,0,1080,1028,40
890392945,890392939,-6,768,3362,40
