fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
4733118,4733139,20,945,1152,1043.38,0.19807,-260.308,-1.41964,-130.864,20.09
7701552,7701549,-3,1069,3275,1871.09,1.11959,17.6996,40.061,28.8803,-2.91
8142120,8142138,17,325,879,534.486,0.99496,-191.788,34.5427,-78.6227,17.09
12768859,12768856,-3,1057,2441,1606.28,0.836973,17.6996,27.5063,22.603,-2.91
13760425,13760426,0,1942,1326,1604.71,-0.381551,-1.22487,-28.3146,-14.7697,0.09
20698496,20698499,2,2036,1389,1681.67,-0.382403,-14.0977,-28.3546,-21.2262,2.09
26548815,26548810,-5,1113,2928,1805.23,0.967261,31.0834,33.3124,32.1979,-4.91
27122281,27122277,-4,1420,3155,2116.62,0.798332,24.2562,25.7783,25.0173,-3.91
29150836,29150829,-7,1034,3514,1906.17,1.22332,45.9003,44.6318,45.266,-6.91
32122689,32122690,0,3870,4190,4026.82,0.0794462,-1.22487,-6.87334,-4.0491,0.09
34155678,34155675,-3,1555,1528,1541.44,-0.0175159,17.6996,-11.3505,3.17457,-2.91
35692507,35692505,-2,967,1943,1370.72,0.69779,11.3257,21.2692,16.2975,-1.91
36519525,36519522,-3,1272,2388,1742.85,0.629866,17.6996,18.2123,17.956,-2.91
39410526,39410527,0,1591,1323,1450.82,-0.184461,-1.22487,-19.0997,-10.1623,0.09
39681146,39681125,-21,1504,2104,1778.88,0.335712,248.726,4.87581,126.801,-20.91
41760874,41760870,-4,1037,2270,1534.27,0.783448,24.2562,25.112,24.6841,-3.91
44983215,44983212,-3,1266,1999,1590.83,0.456785,17.6996,10.3845,14.042,-2.91
51402837,51402836,-1,1973,3622,2673.24,0.607471,5.04683,17.2026,11.1247,-0.91
52028204,52028205,0,26283,29936,28050.1,0.130139,-1.22487,-4.53955,-2.88221,0.09
55019317,55019312,-5,1200,3160,1947.31,0.96825,31.0834,33.3564,32.2199,-4.91
55897908,55897906,-2,1407,2190,1755.37,0.442442,11.3257,9.73328,10.5295,-1.91
57979702,57979707,4,6859,15696,10375.9,0.827844,-27.9949,27.0983,-0.448294,4.09
62899261,62899257,-4,1252,2642,1818.73,0.746794,24.2562,23.4693,23.8627,-3.91
63975235,63975231,-4,1202,2673,1792.47,0.799215,24.2562,25.8178,25.037,-3.91
66928198,66928196,-2,1017,2540,1607.23,0.915307,11.3257,31.0009,21.1633,-1.91
71606943,71606946,2,1413,1772,1582.35,0.226394,-14.0977,-0.121311,-7.10951,2.09
71916599,71916597,-2,650,1205,885.014,0.617262,11.3257,17.6442,14.485,-1.91
72869109,72869106,-3,1610,1773,1689.54,0.0964388,17.6996,-6.09051,5.80455,-2.91
79645682,79645684,1,1351,1721,1524.82,0.24206,-7.57712,0.596197,-3.49046,1.09
86804234,86804235,0,960,1359,1142.21,0.347571,-1.22487,5.41658,2.09586,0.09
87938596,87938594,-2,1293,2316,1730.49,0.582876,11.3257,16.0926,13.7092,-1.91
89377795,89377794,-1,736,1672,1109.32,0.820546,5.04683,26.772,15.9094,-0.91
89608414,89608414,0,976,1639,1264.78,0.518379,-1.22487,13.1765,5.97582,0.09
90337429,90337426,-3,1236,2399,1721.97,0.663172,17.6996,19.7123,18.706,-2.91
92575000,92574998,-2,1279,1812,1522.35,0.348353,11.3257,5.45221,8.38897,-1.91
93106851,93106850,-1,1386,2394,1821.56,0.546544,5.04683,14.4509,9.74885,-0.91
93245007,93245006,-1,976,3614,1878.1,1.30911,5.04683,48.397,26.7219,-0.91
96114562,96114562,0,813,2306,1369.23,1.04254,-1.22487,36.6527,17.7139,0.09
97006069,97006065,-4,605,1855,1059.37,1.12041,24.2562,40.0971,32.1767,-3.91
98956476,98956474,-2,1268,1567,1409.59,0.211722,11.3257,-0.793657,5.26604,-1.91
99395102,99395098,-4,1636,2282,1932.19,0.332798,24.2562,4.74289,14.4996,-3.91
99765097,99765094,-3,702,1361,977.457,0.662042,17.6996,19.6614,18.6805,-2.91
100778522,100778519,-3,1105,2772,1750.16,0.919724,17.6996,31.1976,24.4486,-2.91
101808666,101808666,0,1619,2623,2060.74,0.48251,-1.22487,11.5514,5.16328,0.09
102046674,102046670,-4,1281,3016,1965.58,0.85629,24.2562,28.3691,26.3127,-3.91
106167570,106167569,-1,1259,2449,1755.93,0.665362,5.04683,19.8109,12.4288,-0.91
106547785,106547794,8,3531,1878,2575.12,-0.631374,-61.6711,-40.0982,-50.8846,8.09
108463218,108463215,-3,744,2851,1456.41,1.34338,17.6996,49.8976,33.7986,-2.91
108586120,108586103,-17,1023,1546,1257.6,0.412931,166.057,8.39232,87.2244,-16.91
120683971,120683967,-4,934,1976,1358.52,0.749353,24.2562,23.584,23.9201,-3.91
121530434,121530431,-3,1130,1489,1297.14,0.275887,17.6996,2.14385,9.92173,-2.91
123762971,123762970,-1,938,1522,1194.84,0.484031,5.04683,11.6204,8.3336,-0.91
125977929,125977934,4,3018,1684,2254.4,-0.583422,-27.9949,-37.8275,-32.9112,4.09
126880726,126880725,-1,1504,2406,1902.27,0.469837,5.04683,10.9767,8.01177,-0.91
132891876,132891871,-5,1022,1964,1416.76,0.653222,31.0834,19.2644,25.1739,-4.91
133880090,133880089,-1,1059,2073,1481.66,0.671672,5.04683,20.0948,12.5708,-0.91
135258066,135258071,4,2141,986,1452.94,-0.775372,-27.9949,-46.9427,-37.4688,4.09
137580951,137580950,-1,984,2213,1475.67,0.810478,5.04683,26.3218,15.6843,-0.91
138091977,138091972,-5,1179,1715,1421.97,0.374746,31.0834,6.65478,18.8691,-4.91
144088331,144088328,-3,1458,2616,1952.98,0.584581,17.6996,16.1696,16.9346,-2.91
147040513,147040511,-2,1328,2347,1765.45,0.569464,11.3257,15.4869,13.4063,-1.91
147078837,147078819,-18,292,492,379.03,0.521725,184.387,13.328,98.8576,-17.91
151647658,151647656,-2,1320,3309,2089.95,0.919014,11.3257,31.166,21.2459,-1.91
152841974,152841970,-4,992,2961,1713.86,1.09356,24.2562,38.9107,31.5835,-3.91
153008032,153008047,14,12338,26744,18165.0,0.773626,-137.422,24.672,-56.3749,14.09
153633405,153633404,-1,617,1927,1090.39,1.13885,5.04683,40.9111,22.979,-0.91
154582591,154582586,-5,994,1829,1348.34,0.609787,31.0834,17.3071,24.1952,-4.91
