fTNear,fTFar,fDelT,fQNear,fQFar,d
119358486031,119358486028,-3,37,28,20
4733118,4733139,21,945,1152,20
7701552,7701549,-3,1069,3275,20
8142120,8142138,18,325,879,20
12768859,12768856,-3,1057,2441,20
13760425,13760426,1,1942,1326,20
20698496,20698499,3,2036,1389,20
26548815,26548810,-5,1113,2928,20
27122281,27122277,-4,1420,3155,20
29150836,29150829,-7,1034,3514,20
32122689,32122690,1,3870,4190,20
34155678,34155675,-3,1555,1528,20
35692507,35692505,-2,967,1943,20
36519525,36519522,-3,1272,2388,20
39410526,39410527,1,1591,1323,20
39681146,39681125,-21,1504,2104,20
41760874,41760870,-4,1037,2270,20
44983215,44983212,-3,1266,1999,20
51402837,51402836,-1,1973,3622,20
52028204,52028205,1,26283,29936,20
55019317,55019312,-5,1200,3160,20
55897908,55897906,-2,1407,2190,20
57979702,57979707,5,6859,15696,20
62899261,62899257,-4,1252,2642,20
63975235,63975231,-4,1202,2673,20
66928198,66928196,-2,1017,2540,20
71606943,71606946,3,1413,1772,20
71916599,71916597,-2,650,1205,20
72869109,72869106,-3,1610,1773,20
79645682,79645684,2,1351,1721,20
86804234,86804235,1,960,1359,20
87938596,87938594,-2,1293,2316,20
89377795,89377794,-1,736,1672,20
89608414,89608414,0,976,1639,20
90337429,90337426,-3,1236,2399,20
92575000,92574998,-2,1279,1812,20
93106851,93106850,-1,1386,2394,20
93245007,93245006,-1,976,3614,20
96114562,96114562,0,813,2306,20
97006069,97006065,-4,605,1855,20
98956476,98956474,-2,1268,1567,20
99395102,99395098,-4,1636,2282,20
99765097,99765094,-3,702,1361,20
100778522,100778519,-3,1105,2772,20
101808666,101808666,0,1619,2623,20
102046674,102046670,-4,1281,3016,20
106167570,106167569,-1,1259,2449,20
106547785,106547794,9,3531,1878,20
108463218,108463215,-3,744,2851,20
108586120,108586103,-17,1023,1546,20
120683971,120683967,-4,934,1976,20
121530434,121530431,-3,1130,1489,20
123762971,123762970,-1,938,1522,20
125977929,125977934,5,3018,1684,20
126880726,126880725,-1,1504,2406,20
132891876,132891871,-5,1022,1964,20
133880090,133880089,-1,1059,2073,20
135258066,135258071,5,2141,986,20
137580951,137580950,-1,984,2213,20
138091977,138091972,-5,1179,1715,20
144088331,144088328,-3,1458,2616,20
147040513,147040511,-2,1328,2347,20
147078837,147078819,-18,292,492,20
151647658,151647656,-2,1320,3309,20
152841974,152841970,-4,992,2961,20
153008032,153008047,15,12338,26744,20
153633405,153633404,-1,617,1927,20
154582591,154582586,-5,994,1829,20
156735667,156735661,-6,1329,3724,20
161297587,161297584,-3,1247,2333,20
162289807,162289794,-13,30015,16382,20
169963981,169963979,-2,777,1780,20
170882778,170882775,-3,929,1903,20
172064175,172064170,-5,1024,1772,20
174621453,174621450,-3,782,1606,20
177335326,177335322,-4,1090,2536,20
177764726,177764724,-2,1156,2460,20
187011706,187011702,-4,778,1001,20
188039995,188039995,0,1052,1398,20
189925582,189925579,-3,1388,2086,20
193487358,193487356,-2,1068,2052,20
202570846,202570851,5,4898,2701,20
202627326,202627322,-4,789,2079,20
204830459,204830458,-1,871,3043,20
208410213,208410209,-4,669,1615,20
208578781,208578781,0,999,2438,20
217427249,217427255,6,2094,1108,20
218243436,218243430,-6,1667,6863,20
218906780,218906776,-4,1020,2100,20
221177896,221177893,-3,1040,2437,20
223723000,223722994,-6,981,3408,20
224864835,224864833,-2,994,2059,20
225171350,225171346,-4,1072,3592,20
226683028,226683026,-2,801,2211,20
226754286,226754301,15,841,2280,20
227322863,227322865,2,2278,3008,20
227900305,227900302,-3,1295,1860,20
