fTNear,fTFar,fDelT,fQNear,fQFar,d
329998042,329998043,1,2073,1709,-10
332880195,332880195,0,1770,1428,-10
333930533,333930533,0,1143,1371,-10
340560857,340560849,-8,1978,7115,-10
343242603,343242605,2,540,663,-10
344666999,344667000,1,1842,1657,-10
345096858,345096860,2,1435,1415,-10
347520624,347520626,2,1520,1260,-10
348141303,348141303,0,1232,1604,-10
348202751,348202753,2,1493,1079,-10
348320141,348320143,2,1712,1810,-10
348659471,348659473,2,1707,1719,-10
353922614,353922615,1,1771,1606,-10
354503206,354503207,1,1200,1505,-10
355239499,355239501,2,1856,1665,-10
357264982,357264986,4,981,1320,-10
358524120,358524124,4,1355,1476,-10
360559190,360559200,10,1283,1087,-10
362687119,362687122,3,1522,1666,-10
363990170,363990170,0,1386,1884,-10
365854846,365854849,3,2453,1481,-10
366290249,366290254,5,1635,1089,-10
369691487,369691494,7,6720,3105,-10
369876939,369876942,3,1415,1387,-10
370750398,370750402,4,1795,1426,-10
371604842,371604848,6,3169,1531,-10
372334110,372334110,0,1184,1215,-10
373939663,373939666,3,1453,1277,-10
376422550,376422550,0,1580,1643,-10
379006127,379006130,3,1162,1082,-10
379354178,379354181,3,2147,1427,-10
382004270,382004271,1,1533,1720,-10
382572829,382572825,-4,2167,4752,-10
391126291,391126293,2,1671,1529,-10
391358143,391358154,11,1336,1173,-10
395219714,395219718,4,1887,1976,-10
397726147,397726150,3,1797,1477,-10
397780042,397780045,3,2028,1852,-10
399890419,399890401,-18,1489,1695,-10
400235037,400235037,0,1403,1217,-10
401094970,401094972,2,2184,1545,-10
401460890,401460892,2,1820,1688,-10
403001911,403001911,0,1083,1107,-10
404497630,404497630,0,1050,1393,-10
407050543,407050544,1,1692,1757,-10
410647366,410647367,1,1329,1995,-10
410689625,410689629,4,1558,1182,-10
412299680,412299683,3,1733,1546,-10
412840437,412840439,2,1550,1166,-10
412865848,412865849,1,1182,1393,-10
413891796,413891799,3,1502,1254,-10
419302722,419302722,0,883,1612,-10
420352800,420352803,3,3042,1866,-10
420969168,420969170,2,1119,1054,-10
421729863,421729864,1,1171,1624,-10
423052294,423052294,0,1567,1735,-10
427068916,427068939,23,1005,1393,-10
429408322,429408319,-3,751,952,-10
430114734,430114734,0,1478,1393,-10
435232485,435232486,1,1558,1364,-10
436276360,436276362,2,1267,1193,-10
436860666,436860667,1,1338,1311,-10
437098797,437098805,8,2295,779,-10
442570249,442570249,0,1180,1405,-10
442866469,442866471,2,1699,1486,-10
