fTNear,fTFar,fDelT,fQNear,fQFar,d
544746256,544746246,-10,1116,3195,30
555180081,555180078,-3,855,2572,30
560646730,560646726,-4,1187,2652,30
560767136,560767155,19,299,1060,30
563000052,563000047,-5,1323,3086,30
564285575,564285571,-4,1330,3448,30
567078249,567078244,-5,1141,2553,30
567254624,567254604,-20,878,3486,30
569392651,569392648,-3,1326,3119,30
574332721,574332716,-5,1124,3188,30
575665662,575665657,-5,1073,2986,30
579037591,579037587,-4,1064,3089,30
581314294,581314290,-4,1106,2672,30
584375392,584375388,-4,1020,2722,30
594105189,594105186,-3,1017,3186,30
594498666,594498662,-4,691,2540,30
603298253,603298247,-6,1174,2979,30
603952610,603952625,15,658,1922,30
608734274,608734272,-2,1388,2930,30
611570740,611570734,-6,913,2625,30
611669643,611669629,-14,708,2298,30
615718709,615718704,-5,1096,2504,30
617588303,617588298,-5,1459,3166,30
618607601,618607592,-9,42010,12468,30
619840947,619840944,-3,1108,2849,30
620773235,620773230,-5,912,2497,30
622917313,622917307,-6,1223,2558,30
631391280,631391303,23,864,2646,30
633045555,633045549,-6,804,1151,30
637110318,637110312,-6,999,2835,30
641159502,641159497,-5,1192,2095,30
644948085,644948077,-8,1624,4759,30
645581691,645581686,-5,979,2578,30
654519563,654519557,-6,1002,2837,30
655403985,655403985,0,326,832,30
658056439,658056437,-2,854,1973,30
660389267,660389278,11,19122,18996,30
661381585,661381581,-4,1150,2285,30
662406240,662406247,7,8070,22134,30
664479739,664479726,-13,4054,1606,30
666335961,666335962,1,2619,3369,30
667789578,667789574,-4,914,4035,30
671065519,671065514,-5,1463,3547,30
672687778,672687782,4,1147,957,30
672854693,672854690,-3,1276,3419,30
673001355,673001350,-5,625,1759,30
675100554,675100546,-8,1142,3632,30
684109239,684109234,-5,914,2634,30
687768326,687768321,-5,1309,3317,30
689609853,689609850,-3,873,1769,30
691858807,691858802,-5,1111,3770,30
695254399,695254394,-5,1191,4308,30
696969096,696969093,-3,1235,2909,30
699181043,699181038,-5,975,4162,30
708197590,708197590,0,1611,1603,30
709091741,709091734,-7,1141,4507,30
710336017,710336014,-3,1243,2980,30
711226623,711226618,-5,1231,2638,30
713953267,713953261,-6,1102,2942,30
714812233,714812229,-4,1442,3858,30
716732662,716732658,-4,1350,3671,30
722875673,722875669,-4,1184,2819,30
723178913,723178906,-7,1133,1597,30
726378489,726378485,-4,1178,3013,30
731460113,731460109,-4,899,2218,30
738111855,738111851,-4,848,2706,30
738503120,738503119,-1,169,1222,30
744153551,744153546,-5,888,1941,30
744778628,744778641,13,264,725,30
746320187,746320182,-5,1048,2854,30
749941339,749941334,-5,364,987,30
756440946,756440941,-5,1262,3089,30
757322481,757322478,-3,870,2752,30
766407866,766407859,-7,753,2599,30
771446115,771446112,-3,795,1530,30
771907443,771907438,-5,1165,2835,30
775195188,775195183,-5,1071,3407,30
775779466,775779449,-17,1380,998,30
776858634,776858629,-5,799,2504,30
783204783,783204783,0,2716,2605,30
789916372,789916366,-6,1068,2422,30
790426743,790426739,-4,1102,2093,30
792176601,792176602,1,2657,2961,30
797863502,797863498,-4,1323,2998,30
798264110,798264110,0,1515,1865,30
799555331,799555329,-2,507,1772,30
804296509,804296515,6,6251,3161,30
808178754,808178753,-1,1691,2485,30
813547432,813547426,-6,919,2078,30
815134217,815134210,-7,1528,4314,30
815261542,815261538,-4,1422,2794,30
817745838,817745833,-5,988,3198,30
828241734,828241730,-4,885,2422,30
831293077,831293074,-3,1058,3026,30
834510077,834510073,-4,2349,7374,30
835387096,835387097,1,864,1361,30
835506654,835506649,-5,866,1929,30
842421970,842421968,-2,1191,2792,30
849042129,849042125,-4,1086,1891,30
850410748,850410742,-6,1718,3134,30
850979734,850979730,-4,1180,2425,30
860252654,860252649,-5,677,1345,30
873665888,873665885,-3,1372,2693,30
874168956,874168969,13,371,768,30
881370558,881370562,4,1548,1408,30
882408055,882408049,-6,852,2389,30
882951912,882951935,23,809,3201,30
883210766,883210759,-7,1549,4291,30
884654177,884654172,-5,1461,3618,30
886470875,886470871,-4,824,2295,30
888727364,888727356,-8,160,2910,30
891209014,891209010,-4,965,1722,30
895097470,895097465,-5,1702,3716,30
899396974,899396989,15,470,1824,30
903891755,903891750,-5,1338,3751,30
905796727,905796724,-3,1585,2462,30
909774904,909774898,-6,1072,2979,30
910141189,910141179,-10,20971,14718,30
912312547,912312541,-6,1063,2876,30
914844541,914844544,3,1066,1441,30
917422550,917422545,-5,1338,3139,30
930056038,930056033,-5,753,2503,30
932592811,932592806,-5,1085,2123,30
933291510,933291505,-5,1337,3626,30
933530463,933530460,-3,1488,2965,30
937150869,937150869,0,1229,1827,30
937603435,937603449,14,529,1822,30
940366614,940366610,-4,1209,3430,30
940501201,940501197,-4,1143,4343,30
946445970,946445966,-4,1033,2527,30
947362579,947362574,-5,925,2708,30
951199025,951199020,-5,646,2211,30
953370473,953370469,-4,953,2060,30
953560007,953560005,-2,1197,1903,30
954447985,954447981,-4,1082,3178,30
955530542,955530538,-4,1017,2113,30
955785197,955785193,-4,1338,3228,30
956316432,956316415,-17,829,1622,30
968151799,968151796,-3,1288,1578,30
972194064,972194061,-3,1043,1856,30
974365003,974364997,-6,1045,2609,30
975651790,975651798,8,13723,28542,30
977640787,977640783,-4,1100,2216,30
978198281,978198277,-4,979,2425,30
988636859,988636855,-4,876,2660,30
991103388,991103385,-3,936,2204,30
994861326,994861322,-4,885,1855,30
995902986,995902981,-5,1178,2682,30
997671878,997671874,-4,874,2189,30
998594278,998594275,-3,765,3382,30
1004271855,1004271849,-6,1109,3345,30
1004538200,1004538195,-5,1109,2984,30
1007862298,1007862314,16,9869,52950,30
1012785588,1012785596,8,168,1120,30
1014884813,1014884807,-6,1112,2738,30
1015687646,1015687639,-7,1436,6456,30
1016759214,1016759206,-8,504,1368,30
1018056436,1018056430,-6,1190,3684,30
1019940607,1019940602,-5,971,2623,30
1025154795,1025154790,-5,1235,3442,30
1029036819,1029036813,-6,758,2605,30
1037154742,1037154736,-6,878,4153,30
1045104366,1045104362,-4,1070,2329,30
1048547323,1048547319,-4,976,3161,30
1057766550,1057766545,-5,816,1997,30
1063077781,1063077783,2,1619,1130,30
1069801319,1069801315,-4,889,1665,30
1073819484,1073819480,-4,1092,2714,30
1077562073,1077562067,-6,1039,2288,30
1080522778,1080522775,-3,1105,3126,30
1082745609,1082745606,-3,757,1477,30
1084174054,1084174049,-5,1150,3466,30
1087096578,1087096574,-4,1126,2772,30
1093532119,1093532118,-1,23251,17540,30
1093966410,1093966411,1,874,1176,30
1094343810,1094343805,-5,897,3261,30
1103899885,1103899882,-3,726,3045,30
1104772689,1104772684,-5,1124,2521,30
1105192958,1105192954,-4,984,2410,30
1105363378,1105363385,7,299,922,30
1109466670,1109466669,-1,17220,82663,30
1109840967,1109840962,-5,1442,3644,30
1112131681,1112131674,-7,904,3081,30
1120417735,1120417731,-4,1400,3145,30
1124100475,1124100471,-4,824,1911,30
1124377025,1124377041,16,408,938,30
1128580591,1128580586,-5,1356,3387,30
1129893930,1129893926,-4,1010,2789,30
1133115737,1133115734,-3,895,1801,30
1133468098,1133468100,2,2538,2378,30
1139262353,1139262350,-3,1622,2440,30
1140916639,1140916643,4,2381,1400,30
1149646532,1149646529,-3,1391,3150,30
1153065475,1153065471,-4,1052,3455,30
1155651041,1155651038,-3,1489,3551,30
1161733582,1161733578,-4,1136,2686,30
1162470080,1162470081,1,1668,1392,30
1162965497,1162965491,-6,1077,3413,30
1163005650,1163005646,-4,1033,3073,30
1163713675,1163713690,15,678,2844,30
1164194493,1164194489,-4,869,2560,30
1167267050,1167267070,20,745,1026,30
1170390135,1170390134,-1,1271,3098,30
1186523574,1186523570,-4,1398,3787,30
1195083503,1195083498,-5,1395,3517,30
1198913066,1198913066,0,1685,2660,30
1202184671,1202184667,-4,904,2976,30
1202824035,1202824015,-20,30738,27010,30
1210258741,1210258736,-5,974,3170,30
1212498746,1212498741,-5,899,1953,30
1214414063,1214414060,-3,836,2901,30
1214468840,1214468834,-6,813,3001,30
1217102822,1217102818,-4,985,3389,30
1221455302,1221455298,-4,976,2886,30
1222532968,1222532989,21,763,2968,30
1223795046,1223795040,-6,1377,3417,30
1224192460,1224192471,11,441,902,30
1224525630,1224525624,-6,1213,3027,30
1224680115,1224680121,6,163,915,30
1232445225,1232445219,-6,1385,3041,30
1233817688,1233817685,-3,1212,2710,30
1235479379,1235479373,-6,1153,3186,30
1236021557,1236021553,-4,1540,3328,30
1242319873,1242319869,-4,769,2890,30
1243431659,1243431654,-5,813,2542,30
1245614510,1245614506,-4,878,2760,30
1246133624,1246133622,-2,1575,4215,30
1246381122,1246381117,-5,1244,1739,30
1259350875,1259350871,-4,1145,2760,30
1262153913,1262153906,-7,884,3245,30
1269778424,1269778420,-4,1156,2764,30
1270459881,1270459877,-4,1186,2561,30
1271495160,1271495162,2,8353,18987,30
1272549070,1272549074,4,5265,2741,30
1275898638,1275898633,-5,1394,3492,30
1275988305,1275988301,-4,1356,3417,30
1276854492,1276854510,18,1237,3364,30
1279544254,1279544250,-4,1080,2384,30
1282116932,1282116927,-5,1050,3492,30
