fTNear,fTFar,fDelT,fQNear,fQFar,d
118502617931,118502617939,8,66,85,-30
850402,850407,5,2230,1491,-30
2659582,2659587,5,2108,1018,-30
4782756,4782761,5,2312,1446,-30
5460014,5460020,6,1499,1563,-30
5967718,5967738,20,2564,1375,-30
6692958,6692965,7,4939,2019,-30
6969332,6969336,4,2759,1465,-30
9195673,9195678,5,2701,1999,-30
13128716,13128720,4,1710,1122,-30
14368488,14368493,5,2496,1314,-30
16530718,16530722,4,1583,1217,-30
17967508,17967511,3,2330,1496,-30
24862180,24862185,5,2649,1134,-30
27226759,27226764,5,3072,1459,-30
28399692,28399687,-5,1123,1371,-30
28755275,28755281,6,2001,1162,-30
29696774,29696780,6,2161,1683,-30
29872637,29872641,4,2216,1480,-30
33017602,33017605,3,1761,1084,-30
33946994,33946999,5,1873,1286,-30
34523893,34523896,3,1775,1346,-30
37230770,37230773,3,2807,1655,-30
38327319,38327318,-1,1116,1265,-30
39818636,39818642,6,2468,1147,-30
40985814,40985818,4,2662,1169,-30
43493394,43493401,7,1747,1089,-30
45709985,45709989,4,3487,1578,-30
54187650,54187652,2,2225,1596,-30
54750425,54750429,4,2369,1334,-30
55578195,55578199,4,2449,1138,-30
64640545,64640547,2,2068,1183,-30
70001576,70001581,5,2838,1327,-30
72047091,72047100,9,1965,1158,-30
72267211,72267206,-5,1212,4624,-30
72946157,72946162,5,1746,1548,-30
74284498,74284502,4,2231,1067,-30
76342599,76342603,4,1538,846,-30
76369707,76369714,7,3399,1037,-30
77077426,77077431,5,2413,1483,-30
78616949,78616951,2,1802,1715,-30
80367029,80367033,4,2919,1839,-30
80456966,80456970,4,2250,866,-30
82741920,82741925,5,2186,1083,-30
86248730,86248735,5,2650,1739,-30
86623242,86623246,4,1208,594,-30
87378123,87378125,2,1828,1440,-30
88418316,88418321,5,3008,1187,-30
92385457,92385461,4,2602,1438,-30
99317645,99317653,8,3641,1176,-30
100620369,100620374,5,1286,1410,-30
103089586,103089586,0,1104,1532,-30
107540974,107540979,5,1126,975,-30
108772433,108772439,6,2372,1234,-30
108883790,108883770,-20,1556,1386,-30
109246561,109246565,4,1418,1639,-30
110407642,110407645,3,2300,1312,-30
118677171,118677185,14,457,2421,-30
121029557,121029562,5,2049,923,-30
121722754,121722758,4,1385,794,-30
123381941,123381947,6,1791,1009,-30
128737175,128737178,3,2382,1212,-30
128971175,128971178,3,1072,822,-30
131920543,131920548,5,2449,1954,-30
132002293,132002298,5,1637,932,-30
135757587,135757593,6,2234,1423,-30
136081248,136081253,5,3343,1772,-30
137576882,137576885,3,1995,1358,-30
137766114,137766119,5,2158,1373,-30
141613945,141613950,5,2896,2155,-30
142569022,142569029,7,2060,1033,-30
143175241,143175246,5,2461,1391,-30
146599503,146599509,6,2303,976,-30
146724904,146724907,3,1909,1172,-30
148945829,148945835,6,3167,957,-30
149268918,149268898,-20,2493,1819,-30
153085786,153085793,7,3089,1141,-30
154066321,154066326,5,2259,1214,-30
157153178,157153182,4,2063,1456,-30
158780531,158780534,3,1154,1240,-30
158948958,158948940,-18,2135,1261,-30
